timestamp,station_id,zone,lat,lon,elevation_m,rainfall_mm,disp_inc_mm,strain_inc_micro,pore_kpa,vibration,blast_flag,sensor_status,cumulative_disp_mm,disp_rate_6h,strain_6h,pore_6h,vib_6h,risk_score_raw,risk_score_norm,risk_label,event_prob,rockfall_event
2025-09-01 0:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.74,0.01383,0.0054866,123.12,0.38347,0,OK,0.01383,0.01383,0.0054866,123.12,0.38347,3.271577545,0.2126,LOW,0.02982364319,0
2025-09-01 1:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.46,0.01602,0.0052749,127.774,0.48703,0,OK,0.02985,0.014925,0.00538075,125.447,0.43525,3.475722273,0.2347,LOW,0.03292384316,0
2025-09-01 2:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.96,0.01954,0.0042148,117.315,0.63082,0,OK,0.04939,0.01646333333,0.0049921,122.7363333,0.50044,3.436455152,0.2304,LOW,0.03232063683,0
2025-09-01 3:00:00,STN-01,Bench-1,34.02931,74.820958,1035,-0.91,0.01489,0.003259,121.513,0.56042,0,OK,0.06428,0.01607,0.004558825,122.4305,0.515435,3.382359136,0.2246,LOW,0.03150700969,0
2025-09-01 4:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.21,0.0072,0.0036222,117.778,0.31594,0,OK,0.07148,0.014296,0.0043715,121.5,0.475536,3.215659782,0.2066,LOW,0.02898195994,0
2025-09-01 5:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.22,0.00793,0.0048155,119.966,0.57713,0,OK,0.07941,0.013235,0.0044455,121.2443333,0.4924683333,3.24507047,0.2098,LOW,0.02943085767,0
2025-09-01 6:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.7,0.00997,0.003336,117.193,0.34949,0,OK,0.08938,0.01259166667,0.004087066667,120.2565,0.486805,3.127066621,0.197,LOW,0.02763526674,0
2025-09-01 7:00:00,STN-01,Bench-1,34.02931,74.820958,1035,-0.35,0.02063,0.0033027,129.323,0.61596,0,OK,0.11001,0.01336,0.003758366667,120.5146667,0.5082933333,3.13594497,0.198,LOW,0.02777554728,0
2025-09-01 8:00:00,STN-01,Bench-1,34.02931,74.820958,1035,-0.08,0.01559,0.0029658,121.153,0.5924,0,OK,0.1256,0.01270166667,0.0035502,121.1543333,0.50189,3.114317061,0.1956,LOW,0.02743887398,0
2025-09-01 9:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.73,0.01601,0.0048498,123.576,0.547,0,OK,0.14161,0.01288833333,0.003815333333,121.4981667,0.4996533333,3.168790182,0.2015,LOW,0.02826652918,0
2025-09-01 10:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.9,0.114,0.0042195,123.686,0.32611,0,OK,0.25561,0.03068833333,0.003914883333,122.4828333,0.5013483333,3.339835258,0.22,LOW,0.0308617192,0
2025-09-01 11:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.03,0.01607,0.0037121,119.584,0.17259,0,OK,0.27168,0.032045,0.003730983333,122.4191667,0.433925,3.174068318,0.2021,LOW,0.0283506975,0
2025-09-01 12:00:00,STN-01,Bench-1,34.02931,74.820958,1035,0.28,0.0226,0.0027333,117.252,0.44459,0,OK,0.29428,0.03415,0.003630533333,122.429,0.449775,3.204358288,0.2054,LOW,0.02881362329,0
